"PLT_CN","SPCD","SAP.PRES","fire.sev","PREV_BAH","ECOSUBCD","MAT_maxanom","MAT_maxanom.z","MAT_maxanom_2050","MAT_maxanom_2050.z","MAT_maxanom_2080","MAT_maxanom_2080.z","CMD_maxanom","CMD_maxanom.z","CMD_maxanom_2050","CMD_maxanom_2050.z","CMD_maxanom_2080","CMD_maxanom_2080.z","MAT_ref_mean","CMD_ref_mean"
188779690020004,19,0,0,25.04271007,"321Am",1.53871,2.749809362,2.33871,4.17947933921369,4.03871,7.21752803984919,211.4194,2.571959287,-6.5806,-0.0800543151850042,13.4194,0.163249685012559,7.16129,379.5806
188779690020004,93,0,0,25.04271007,"321Am",1.53871,2.749809362,2.33871,4.17947933921369,4.03871,7.21752803984919,211.4194,2.571959287,-6.5806,-0.0800543151850042,13.4194,0.163249685012559,7.16129,379.5806
188779878020004,19,1,0,15.1296041,"M313Ah",1.883871,3.04777422,2.483871,4.01846941751979,4.183871,6.76877247664952,191.6452,2.62336489,35.6452,0.487934820103705,55.6452,0.761707906019175,4.416129,332.3548
188779878020004,93,0,0,15.1296041,"M313Ah",1.883871,3.04777422,2.483871,4.01846941751979,4.183871,6.76877247664952,191.6452,2.62336489,35.6452,0.487934820103705,55.6452,0.761707906019175,4.416129,332.3548
188782037020004,19,0,0.333333333,14.17026635,"M313Ah",1.9,3.037247525,2.5,3.99637832210937,4.2,6.71391558114374,195.0323,2.22749868,74.0323,0.845536100974181,124.0323,1.4165950178079,6.7,502.9677
188782037020004,93,0,0.125,14.17026635,"M313Ah",1.9,3.037247525,2.5,3.99637832210937,4.2,6.71391558114374,195.0323,2.22749868,74.0323,0.845536100974181,124.0323,1.4165950178079,6.7,502.9677
188781848020004,19,1,0,13.54386088,"M313Ah",1.9,3.120770535,2.4,3.94202593853068,4.1,6.73429431165657,161.6452,2.048467431,44.6452,0.56577144355408,88.6452,1.12336651573159,4.8,382.3548
188781848020004,93,0,0,13.54386088,"M313Ah",1.9,3.120770535,2.4,3.94202593853068,4.1,6.73429431165657,161.6452,2.048467431,44.6452,0.56577144355408,88.6452,1.12336651573159,4.8,382.3548
188781720020004,19,0,0,11.89871556,"M313Al",1.677419,3.270004279,2.577419,5.02448771520445,4.377419,8.53345458763303,129.3871,1.553271541,23.3871,0.280758413022467,66.3871,0.796966568799202,2.822581,335.6129
188781720020004,93,0,0,11.89871556,"M313Al",1.677419,3.270004279,2.577419,5.02448771520445,4.377419,8.53345458763303,129.3871,1.553271541,23.3871,0.280758413022467,66.3871,0.796966568799202,2.822581,335.6129
431915318489998,19,0,1,6.59003439,"M313Ah",1.909677,3.193592002,2.509677,4.19698430443591,4.209677,7.03992916050347,159.9677,1.924989898,79.9677,0.962300605988842,130.9677,1.57601502950522,6.090323,480.0323
431915318489998,93,0,1,6.59003439,"M313Ah",1.909677,3.193592002,2.509677,4.19698430443591,4.209677,7.03992916050347,159.9677,1.924989898,79.9677,0.962300605988842,130.9677,1.57601502950522,6.090323,480.0323
431915147489998,19,0,0,17.26557906,"M313Ah",1.906452,3.050328569,2.506452,4.01033025818125,4.206452,6.73033504538968,177.5806,2.530405589,35.5806,0.506999914931466,69.5806,0.991477329805578,3.893548,320.4194
431915147489998,93,0,0,17.26557906,"M313Ah",1.906452,3.050328569,2.506452,4.01033025818125,4.206452,6.73033504538968,177.5806,2.530405589,35.5806,0.506999914931466,69.5806,0.991477329805578,3.893548,320.4194
40392287010690,19,0,0,21.13882139,"M331Ip",1.9516129,2.701433248,2.6516129,3.67037707556419,4.3516129,6.02352637139811,75.5806,1.197133239,76.5806,1.21297239899605,99.5806,1.57727308581372,0.1483871,184.4194
40392287010690,93,0,0,21.13882139,"M331Ip",1.9516129,2.701433248,2.6516129,3.67037707556419,4.3516129,6.02352637139811,75.5806,1.197133239,76.5806,1.21297239899605,99.5806,1.57727308581372,0.1483871,184.4194
40392598010690,19,0,0,27.73339937,"M331Ik",2.003225806,2.730288911,2.603225806,3.54805660369901,4.403225806,6.00135968326222,116.5161,1.953731632,94.5161,1.58483758265742,101.5161,1.70221296186373,-0.003225806,285.4839
40392598010690,93,0,0,27.73339937,"M331Ik",2.003225806,2.730288911,2.603225806,3.54805660369901,4.403225806,6.00135968326222,116.5161,1.953731632,94.5161,1.58483758265742,101.5161,1.70221296186373,-0.003225806,285.4839
40392667010690,19,1,0,10.45824522,"M331Ib",1.929032,2.94816707,2.629032,4.01798703592165,4.229032,6.4632898156043,155.3548,2.374731256,110.3548,1.68686769097194,140.3548,2.14544340067518,2.570968,366.6452
40392667010690,93,0,0,10.45824522,"M331Ib",1.929032,2.94816707,2.629032,4.01798703592165,4.229032,6.4632898156043,155.3548,2.374731256,110.3548,1.68686769097194,140.3548,2.14544340067518,2.570968,366.6452
40392651010690,19,0,0,2.691787079,"M331Ib",1.977419,2.974970708,2.577419,3.87765366221483,4.277419,6.43525536599882,139.1613,2.387249571,86.1613,1.47805838619937,114.1613,1.95838580481518,1.222581,290.8387
40392651010690,93,0,0,2.691787079,"M331Ib",1.977419,2.974970708,2.577419,3.87765366221483,4.277419,6.43525536599882,139.1613,2.387249571,86.1613,1.47805838619937,114.1613,1.95838580481518,1.222581,290.8387
40392682010690,19,1,0,6.851610972,"M331Ib",1.948387,2.87509302,2.548387,3.760469391137,4.248387,6.26903577643597,144.9677,2.041846043,109.9677,1.54887684009558,138.9677,1.95733703670578,1.751613,321.0323
40392682010690,93,0,0,6.851610972,"M331Ib",1.948387,2.87509302,2.548387,3.760469391137,4.248387,6.26903577643597,144.9677,2.041846043,109.9677,1.54887684009558,138.9677,1.95733703670578,1.751613,321.0323
40392669010690,19,0,0,7.153652944,"M331Ip",1.9225806,2.754595002,2.6225806,3.75752642724306,4.2225806,6.04994111359774,90.7419,1.501162326,71.7419,1.18684133208575,104.7419,1.7327672687954,0.7774194,236.2581
40392669010690,93,0,0,7.153652944,"M331Ip",1.9225806,2.754595002,2.6225806,3.75752642724306,4.2225806,6.04994111359774,90.7419,1.501162326,71.7419,1.18684133208575,104.7419,1.7327672687954,0.7774194,236.2581
40392656010690,19,1,0,5.336979496,"M331Iv",1.96129,2.884089254,2.56129,3.76639302015373,4.26129,6.26625368968406,160.7097,2.341251394,99.7097,1.45259106401049,125.7097,1.83136431941366,2.63871,361.2903
40392656010690,93,0,0,5.336979496,"M331Iv",1.96129,2.884089254,2.56129,3.76639302015373,4.26129,6.26625368968406,160.7097,2.341251394,99.7097,1.45259106401049,125.7097,1.83136431941366,2.63871,361.2903
40393269010690,19,0,0,7.483108922,"M331Ig",2,2.674204715,2.7,3.61017636513805,4.4,5.88325037281757,134.4839,2.412243034,82.4839,1.4795169770492,96.4839,1.73063553083592,0.8,256.5161
40393269010690,93,0,0,7.483108922,"M331Ig",2,2.674204715,2.7,3.61017636513805,4.4,5.88325037281757,134.4839,2.412243034,82.4839,1.4795169770492,96.4839,1.73063553083592,0.8,256.5161
40391956010690,19,0,0,15.28719652,"M331Fa",1.9,2.521038397,2.9,3.84790071142377,4.6,6.10356664570666,134.7742,2.137573475,118.7742,1.88380698584253,172.7742,2.74026888780016,3.1,356.2258
40391956010690,93,0,0,15.28719652,"M331Fa",1.9,2.521038397,2.9,3.84790071142377,4.6,6.10356664570666,134.7742,2.137573475,118.7742,1.88380698584253,172.7742,2.74026888780016,3.1,356.2258
40391986010690,19,1,0,12.46623733,"M331Fa",1.5580645,2.311057716,2.8580645,4.23933156535343,4.5580645,6.7609204452058,55.5484,0.825236105,73.5484,1.09264704593362,101.5484,1.50861962026755,0.8419355,215.4516
40391986010690,93,0,0,12.46623733,"M331Fa",1.5580645,2.311057716,2.8580645,4.23933156535343,4.5580645,6.7609204452058,55.5484,0.825236105,73.5484,1.09264704593362,101.5484,1.50861962026755,0.8419355,215.4516
40392425010690,19,1,0,8.7721771,"M331Fb",1.509677,2.254916209,2.809677,4.19665015047691,4.509677,6.73584068939322,78.6452,1.028318333,74.6452,0.976016688408896,124.6452,1.62978725129097,2.590323,210.3548
40392425010690,93,0,0,8.7721771,"M331Fb",1.509677,2.254916209,2.809677,4.19665015047691,4.509677,6.73584068939322,78.6452,1.028318333,74.6452,0.976016688408896,124.6452,1.62978725129097,2.590323,210.3548
40392450010690,19,0,0,11.13432524,"M331Fa",1.751613,2.462633719,2.951613,4.14974180919567,4.551613,6.39921926261286,126.9355,1.918807703,99.9355,1.51066492203264,150.9355,2.28160128622418,3.448387,274.0645
40392450010690,93,0,0,11.13432524,"M331Fa",1.751613,2.462633719,2.951613,4.14974180919567,4.551613,6.39921926261286,126.9355,1.918807703,99.9355,1.51066492203264,150.9355,2.28160128622418,3.448387,274.0645
40391919010690,19,0,0,19.25006038,"M331Gk",1.706452,2.415001993,2.806452,3.97174205439872,4.506452,6.37761305895459,60.4516,0.866322211,67.4516,0.966638090971599,75.4516,1.08128481140185,1.593548,261.5484
40391919010690,93,0,0,19.25006038,"M331Gk",1.706452,2.415001993,2.806452,3.97174205439872,4.506452,6.37761305895459,60.4516,0.866322211,67.4516,0.966638090971599,75.4516,1.08128481140185,1.593548,261.5484
40391916010690,19,1,0,26.11100249,"M331Gv",1.8193548,2.572237356,2.7193548,3.84467394802012,4.5193548,6.38954713133412,56.2258,0.786698307,53.2258,0.744723004983867,67.2258,0.940607746402017,0.7806452,215.7742
40391916010690,93,0,0,26.11100249,"M331Gv",1.8193548,2.572237356,2.7193548,3.84467394802012,4.5193548,6.38954713133412,56.2258,0.786698307,53.2258,0.744723004983867,67.2258,0.940607746402017,0.7806452,215.7742
40392091010690,19,0,0,17.33473921,"M331Ik",2.083871,2.823447336,2.683871,3.63639036494503,4.383871,5.93972894582561,102.7742,1.576747507,100.7742,1.54606378470828,111.7742,1.71482425744625,2.116129,330.2258
40392091010690,93,0,0,17.33473921,"M331Ik",2.083871,2.823447336,2.683871,3.63639036494503,4.383871,5.93972894582561,102.7742,1.576747507,100.7742,1.54606378470828,111.7742,1.71482425744625,2.116129,330.2258
40392106010690,19,1,0,18.42352352,"M331Ik",2.0483871,2.774056396,2.6483871,3.58661464668748,4.3483871,5.88886302245126,115.1935,1.853074435,92.1935,1.48308210049474,94.1935,1.51525534699248,0.1516129,274.8065
40392106010690,93,0,0,18.42352352,"M331Ik",2.0483871,2.774056396,2.6483871,3.58661464668748,4.3483871,5.88886302245126,115.1935,1.853074435,92.1935,1.48308210049474,94.1935,1.51525534699248,0.1516129,274.8065
40392098010690,19,0,0,14.88665929,"M331Ik",2.141935,2.8390983,2.641935,3.50183977032032,4.341935,5.75516076782576,109.6774,1.708995751,110.6774,1.72457777392729,130.6774,2.03621823059275,1.058065,333.3226
40392098010690,93,0,0,14.88665929,"M331Ik",2.141935,2.8390983,2.641935,3.50183977032032,4.341935,5.75516076782576,109.6774,1.708995751,110.6774,1.72457777392729,130.6774,2.03621823059275,1.058065,333.3226
40392097010690,19,0,0,4.142899784,"M331Hh",2.0290323,2.778030795,2.6290323,3.5995152420278,4.4290323,6.06396858314881,84.3871,1.251545019,93.3871,1.38502401287093,94.3871,1.39985501215104,0.8709677,272.6129
40392097010690,93,0,0,4.142899784,"M331Hh",2.0290323,2.778030795,2.6290323,3.5995152420278,4.4290323,6.06396858314881,84.3871,1.251545019,93.3871,1.38502401287093,94.3871,1.39985501215104,0.8709677,272.6129
40392101010690,19,1,0,9.535652603,"M331Is",1.941935,2.710807214,2.641935,3.6879588948582,4.341935,6.06104154876866,100.4516,1.385099326,115.4516,1.59193017721405,137.4516,1.8952820917714,2.958065,390.5484
40392101010690,93,1,0,9.535652603,"M331Is",1.941935,2.710807214,2.641935,3.6879588948582,4.341935,6.06104154876866,100.4516,1.385099326,115.4516,1.59193017721405,137.4516,1.8952820917714,2.958065,390.5484
40392323010690,19,0,0,13.11145753,"M331Ip",1.9806452,2.622785428,2.6806452,3.54973074886853,4.3806452,5.80088367021616,107.8387,1.698452931,85.8387,1.35195427603752,102.8387,1.61970323650218,0.9193548,225.1613
40392323010690,93,0,0,13.11145753,"M331Ip",1.9806452,2.622785428,2.6806452,3.54973074886853,4.3806452,5.80088367021616,107.8387,1.698452931,85.8387,1.35195427603752,102.8387,1.61970323650218,0.9193548,225.1613
40392326010690,19,1,0,1.823809018,"M331Ip",2.012903,2.872174239,2.612903,3.72830319521595,4.312903,6.15400190346005,94.2258,1.607850304,61.2258,1.04474486972556,80.2258,1.36895708948889,-1.612903,160.7742
40392326010690,93,1,0,1.823809018,"M331Ip",2.012903,2.872174239,2.612903,3.72830319521595,4.312903,6.15400190346005,94.2258,1.607850304,61.2258,1.04474486972556,80.2258,1.36895708948889,-1.612903,160.7742
40392331010690,19,0,0,8.075574695,"M331Ip",1.970968,2.668684302,2.670968,3.61648204018067,4.370968,5.91827654625754,114.5806,1.762406187,93.5806,1.43939749342177,109.5806,1.68549935529003,1.529032,260.4194
40392331010690,93,0,0,8.075574695,"M331Ip",1.970968,2.668684302,2.670968,3.61648204018067,4.370968,5.91827654625754,114.5806,1.762406187,93.5806,1.43939749342177,109.5806,1.68549935529003,1.529032,260.4194
40392402010690,19,0,0,16.01267664,"M331Gu",1.8451613,3.004233238,2.7451613,4.46958475682736,4.6451613,7.56310463049452,113.2258,1.607841868,83.2258,1.18183245958804,95.2258,1.35223622278474,0.9548387,278.7742
40392402010690,93,0,0,16.01267664,"M331Gu",1.8451613,3.004233238,2.7451613,4.46958475682736,4.6451613,7.56310463049452,113.2258,1.607841868,83.2258,1.18183245958804,95.2258,1.35223622278474,0.9548387,278.7742
40392342010690,19,1,0,10.07841334,"M331Iw",2.009677,2.886016067,2.709677,3.89125782885874,4.509677,6.47616521521724,111.0645,1.653816086,83.0645,1.23687952767044,85.0645,1.26666071043012,1.590323,310.9355
